"112q -- Vanhojen osakeasuntojen keskihinnat ja kauppojen lukumäärät postinumeroalueittain ja rakennusvuosittain, 2010-2018"

"Postinumero","Talotyyppi","Rakennusvuosi","2010 Neliöhinta (EUR/m2)","2011 Neliöhinta (EUR/m2)","2012 Neliöhinta (EUR/m2)","2013 Neliöhinta (EUR/m2)","2014 Neliöhinta (EUR/m2)","2015 Neliöhinta (EUR/m2)","2016 Neliöhinta (EUR/m2)","2017 Neliöhinta (EUR/m2)","2018 Neliöhinta (EUR/m2)"
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5527,5765,6167,6524,6712,6634,5466,7305,7776
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5065,5714,5846,6091,5971,6220,6028,6755,7030
"00120 Punavuori   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5533,6076,6119,6611,6366,6804,.,.,.
"00120 Punavuori   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5369,5414,5789,6150,5943,6332,6327,6854,7339
"00130 Kaartinkaupunki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5471,.,6236,.,.,.,7671,8546,.
"00130 Kaartinkaupunki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5486,6350,6306,6529,.,.,7350,7729,.
"00140 Kaivopuisto - Ullanlinna   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5864,6311,6617,6960,6945,7042,7403,.,.
"00140 Kaivopuisto - Ullanlinna   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5489,6146,6021,6494,6315,6557,6868,7291,7644
"00150 Eira - Hernesaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5370,5814,.,6483,6959,.,.,.,.
"00150 Eira - Hernesaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5106,5700,5732,6053,6317,6214,6453,6876,7407
"00160 Katajanokka   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5201,5374,6613,.,.,6430,.,.,7209
"00160 Katajanokka   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5564,5284,5837,6159,5870,5837,5766,6200,6248
"00170 Kruununhaka   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5787,5928,6319,6503,6803,6912,7489,.,7571
"00170 Kruununhaka   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",5191,5734,5719,6198,5988,6338,6295,6760,7251
"00180 Kamppi - Ruoholahti   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",5426,5917,.,.,.,6856,.,.,.
"00180 Kamppi - Ruoholahti   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,5389,5582,5747,5899,6144,6317,6630,7077
"00190 Suomenlinna   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00190 Suomenlinna   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00200 Lauttasaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4626,4883,5178,5381,5540,5586,.,6425,6692
"00200 Lauttasaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",4085,4393,4578,4810,4850,4929,5072,5409,5865
"00210 Vattuniemi   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4681,4735,.,5579,.,.,.,.,.
"00210 Vattuniemi   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",4452,4553,4799,4945,5055,5268,5300,5250,5838
"00220 Jätkäsaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00220 Jätkäsaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,5444,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,3831,.,4484,.,.,4485,4784
